Scheme Name	Asset Value
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.6695
HDFC Corporate Bond Fund - IDCW Option	19.9354
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.6303
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.5347
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.4365
HSBC Corporate Bond Fund - Direct Annual IDCW	12.1762
HSBC Corporate Bond Fund - Direct Growth	79.1569
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.6029
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.6777
HSBC Corporate Bond Fund - Regular Annual IDCW	11.9087
HSBC Corporate Bond Fund - Regular Growth	74.2748
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1894
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.2789
HSBC Corporate Bond Fund -Regular Plan - Bonus	28.2135
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.7352
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2801
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.4122
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	30.2813
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4340
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
